,MRO,zipcode,30miles?
323,"AeroPlus Interiors, Inc.",77583,#N/A
1015,"Houston Aircraft Instruments, Inc.",77581,#N/A
96,"F.E Moran, Inc. Special Hazard Systems",77571,#N/A
447,"All Star Avionics, Inc.",77571,#N/A
971,"Harvey & Rihn Aviation, Inc.",77571,#N/A
1122,Laversab Inc.,77478,#N/A
42,"Atec, Inc.",77477,#N/A
1117,"Lane Aviation, Inc.",77471,#N/A
1571,Thomas Instrument,77423,#N/A
1378,"Rite-Way Aviation, Inc.",77379,#N/A
442,Alberth Aviation,77375,#N/A
667,"Calkins Aero Service, Inc.",77084,#N/A
1064,Jet Aviation Houston,77061,#N/A
1231,"Omega Aviation Services, Inc.",77061,#N/A
1565,"Temple Electronics Co., Inc.",77061,#N/A
252,"AccuFleet International, Inc.",77060,#N/A
45,AV8 Group,77040,#N/A
125,Hisco,77040,#N/A
527,Av8 PMA,77040,#N/A
456,"American Aeromotive Components, Inc.",77039,#N/A
1037,Intech Aerospace,77032,#N/A
1707,Wood Group Gas Turbine Services,77032,#N/A
365,"Air Impressions, Inc.",76708,#N/A
629,"Blackhawk Modifications, Inc.",76708,#N/A
1362,RAM Aircraft L.P.,76708,#N/A
936,Georgetown Instrument Services,76574,#N/A
880,"Ezell Aviation, Inc.",76424,#N/A
1510,Starks Aviation,76374,#N/A
1018,"HTA Aviation, LLC",76262,#N/A
1546,"Tacor, Inc.",76259,#N/A
386,"Aircraft Carburetor & Injection Services of Texas, LLC",76247,#N/A
869,"Excel Aviation, Inc.",76240,#N/A
331,"Aerospace Instrument Support, Inc.",76207,#N/A
27,"Airbase Services, Inc.",76155,#N/A
290,"Aero Parts Mart, Inc.",76133,#N/A
1208,"NDE LABS, Inc.",76126,#N/A
609,"Bell Helicopter Textron, Inc.",76118,#N/A
611,Benz Engineering,76118,#N/A
891,"Fellfab Corp., Texas",76118,#N/A
1273,"Perkins Aircraft Services, Inc.",76116,#N/A
75,Co-operative Industries Aerospace & Defense,76108,#N/A
717,CIA&D,76108,#N/A
650,Broadie's Aircraft & Engine Service,76106,#N/A
1400,"RSG Aviation, Inc.",76106,#N/A
1594,"Trimec Aviation, Inc.",76106,#N/A
117,Graco Supply Company,76105,#N/A
155,Killick Aerospace,76092,#N/A
734,"Colt Aviation, LLC",76092,#N/A
914,"Fort Wolters Helicopters, Inc.",76067,#N/A
95,"Evans Composites, Inc.",76063,#N/A
1371,"Reliance AeroProducts International, Inc.",76063,#N/A
352,"Ahlers Aerospace, Inc.",76053,#N/A
551,"Aviation Industry Repair, Inc.",76053,#N/A
930,"Galactic Services, Inc.",76053,#N/A
601,BBA Aviation Engine Repair & Overhaul,76051,#N/A
784,"Dallas Airmotive, Inc.",76051,#N/A
1198,"MTU Maintenance Dallas, Inc.",76051,#N/A
1523,"STS Line Maintenance, Dallas/Ft. Worth",76051,#N/A
1617,Turbine Source International,76051,#N/A
965,"Harris Composites, Inc.",76048,#N/A
13,Aereos,76040,#N/A
240,"AADFW, Inc.",76040,#N/A
257,ACP - Airline Component Parts - Aereos,76040,#N/A
258,ACP an Aereos Company,76040,#N/A
521,Atlas Aerospace An Aereos Company,76040,#N/A
1526,"Stuart Industries, Ltd.",76028,#N/A
1567,"Texas Gyro, Inc.",76028,#N/A
195,ProMRO Cloud ERP by Clients First,76018,#N/A
1658,"Van Bortel Aircraft, Inc.",76018,#N/A
83,DAES Group,76017,#N/A
459,American Cooler Service,76015,#N/A
1584,TPS Aerospace,76013,#N/A
311,AeroBearings,76001,#N/A
1615,"Turbine Fuel Systems, Inc.",76001,#N/A
1020,Hutch Aviation,75980,#N/A
1721,Zip Industries,75932,#N/A
1007,"Holly Aero,  Inc.",75765,#N/A
969,"Hartsell Avionics, Inc.",75704,#N/A
1719,Zeftronics,75601,#N/A
1100,L-3 Communications Integrated Systems Group,75402,#N/A
451,"Allied Aviation Services, Dallas",75261,#N/A
538,"Aviall, A Boeing Company",75261,#N/A
539,"Aviall, Product Repair Services",75261,#N/A
746,"Composite Technology, Inc.",75261,#N/A
269,"Advantage Aviation Technologies, Inc.",75247,#N/A
1220,North Texas Turbines Inc.,75247,#N/A
220,"Unitron, LP",75238,#N/A
637,"Bonded Inspections, Inc.",75238,#N/A
1366,"Redbird Electronics, Inc.",75237,#N/A
38,Applied Aerodynamics Inc.,75234,#N/A
413,"Aircraft Tooling, Inc.",75229,#N/A
84,Dallas Centerline,75220,#N/A
260,"Action Aircraft, LP",75220,#N/A
1437,Shoreline Marine,75220,#N/A
782,Dahlgren Duck & Associates,75207,#N/A
1483,Southern Rotorcraft USA,75189,#N/A
390,Aircraft Ducting Repair,75126,#N/A
1529,Sumitomo Precision Usa,75115,#N/A
1511,"Starr Aircraft Products, Inc.",75091,#N/A
361,"Air Concepts Repair Technologies, Inc.",75087,#N/A
653,Bryan Wriston Aviation,75071,#N/A
830,"E.U.A. Air Support, Inc.",75071,#N/A
183,"NTE Aviation, LLC",75057,#N/A
299,Aero Standard Calibration,75057,#N/A
363,"Air Dallas Instruments, Inc.",75057,#N/A
1224,NTE Aviation,75057,#N/A
879,"EYW Avionics, Inc.",75052,#N/A
1413,Sagem Avionics LLC,75052,#N/A
139,Innovative Tooling Services,75051,#N/A
1597,Triumph Accessory Services - Grand Prairie,75050,#N/A
175,MRO Holdings,75039,#N/A
65,BP Aero,75038,#N/A
